,Title,Shop_Name,Is_Ad,Star_Rating,Num_Reviews,Price,Is_Bestseller,Num_Sales,Num_Basket,Description,Days_to_Arrival,Cost_Delivery,Returns_Accepted,Dispatched_From,Num_Images,Category
31,Its Your Birthday Captain Holt Birthday Card,42,0,5,"2,091",2.95,1,"17,213",20,FREE SHIPPING on all greetings cards via First Class Royal Mail. The card has been left blank inside for you to add your own personal message by hand. Posted in a board backed envelope to ensure your cards stay flat during shipping As a company we work with Offset Earth to plant trees to reduce our,2.0,0.0,0,United Kingdom,3,birthday card
32,Lockdown Birthday card - 2020 Birthday card - Funny birthday card - Isolation Birthday card - Self isolation Birthday 2020 - Funny card,3,0,5,"1,129",2.95,1,"7,821",20,This card is perfect to send to someone celebrating their Birthday during lockdown. A great card to keep as a reminder of the 2020 lockdown and time in self isolation where you have to celebrate a birthday at home.  The card comes with a brown Kraft envelope. The card is A6 in size and is printed on,4.0,0.0,1,United Kingdom,1,birthday card
33,Boris Johnson Birthday Card - Funny Prime Minister Greetings card - Stay At Home,122,0,4.5,494,2.50,1,"6,016",11,"PLEASE NOTE - GIVEN THE CURRENT CLIMATE, WE WILL STILL BE SENDING PARCELS AS NORMAL UNTIL THE POSTAL SERVICE STOPS.  PLEASE NOTE THAT THERE COULD BE SIGNIFICANT DELAYS RECEIVING YOUR ORDER (Within UK up to 5 day delays but most places running as usual) - NO ORDERS WILL BE ELIGIBLE FOR A REFUND",3.0,1.15,1,United Kingdom,3,birthday card
34,Personalised 5 x 7 inch Birthday Card - Bunting Card - Brown Kraft - With Matching Envelope & Free UK Shipping,118,0,5,518,4.50,1,"4,458",20,This is a traditional looking 5 x 7 inch (approx) card with a modern twist! Lovely hand cut and hand written bunting mounted on quality twine is the centre piece of this stunning card. Laser cut wooden hearts and cute little glue dots finish this card of nicely.  This card is sure to stand out from,4.0,0.0,1,United Kingdom,7,birthday card
35,"Funny ANNIVERSARY / BIRTHDAY Card, Valentine's Day, Rude, Cheeky, Husband, Wife, Girlfriend, Boyfriend, Valentines ,Banter   - Hold Farts In",62,0,5,"1,331",2.99,1,"12,492",20,FUNNY ANNIVERSARY/BIRTHDAY/VALENTINES DAY CARD 300gsm white matt card  6 x 6 inches (15 cm x 15 cm) Blank Inside  Includes brown ribbed envelope  -------------------------------------------------------------------------------------------  P & P Information  Packaged in a cellophane bag  Posted in a,2.0,0.0,1,United Kingdom,1,birthday card
36,"Plantable Seed Paper Birthday Card, Blank Inside, Flower Hare greeting card, Hares, Birthday card,Hare ,Flower card,Woodland animals",30,0,5,835,4.00,1,"4,679",20,"**** Please note , it will take 3-5 business days for your item to make and dispatch, plus delivery time which depends on the delivery method you choose before you placing an order. - you can request rush delivery - but please send me a separate message and bare in mind that although I will do my",6.0,0.76,1,United Kingdom,9,birthday card
37,Handmade Personalised Women's Birthday Card Daughter Granddaughter Niece 18th 21st 30th,2,0,5,"4,137",3.49,1,"32,432",20,"Womens Birthday Card Using high quality materials to create a lovely, handmade card for a special birthday , choose a card unique for them to cherish . With our competitive prices and attention to detail, our handmade birthday cards are printed on a high quality textured card with a personal touch",4.0,0.0,1,United Kingdom,2,birthday card
38,"Sh*t On It, Friday Night Dinner Birthday Card",42,0,5,"2,091",2.95,1,"17,213",20,FREE SHIPPING on all greetings cards via First Class Royal Mail. The card has been left blank inside for you to add your own personal message by hand. Posted in a board backed envelope to ensure your cards stay flat during shipping As a company we work with Offset Earth to plant trees to reduce our,2.0,0.0,0,United Kingdom,3,birthday card
39,PERSONALISED cute pretty Pink Champagne birthday card 18th 21st 30th 40th 50th any age,7,0,5,409,3.99,1,"3,797",20,Everyone knows at least one person who will appreciate an alternative greetings card! Front reads AS IMAGE with any name  Inside is blank  All cards are printed on quality card-stock and come with an envelope! All items come from a smoke free home. Thanks for looking :) Please message with any,4.0,0.0,1,United Kingdom,8,birthday card
40,"Among Us Birthday Card - It's Your Birthday, Seems Kinda Sus, 12 Colours, Gamer Card, Greetings Card, Gift for Him, Gift for Her, Son",129,1,5,13,2.20,1,287,20,*A4 GICLEE PRINTS AVAILABLE* All prints come with a certificate of authenticity guaranteeing Giclee Quality  ◙ Giclee Print Dimensions: 8.3 x 11.7 Inches  -------------------------------------------------------  I spent the winter of 2018 painting the wonderful landmarks within Kew Gardens in West,3.0,0.0,0,United Kingdom,3,birthday card
41,PERSONALISED Happy Birthday Card / SEEDED plantable recycled eco-friendly card / Eucalyptus Botanical Rustic Greeting Card,90,1,5,"1,197",4.00,1,"10,483",20,Handmade personalised happy birthday card.  Card is made out of recycled seeded card with wild flower and grass seeds embedded in the card.  3 Gifts in 1 card! 1) Unique handmade card 2) Wildflowers can be grown from the card itself 3) Reduce waste and give back to the planet!  RECYCLED ✅ LESS WASTE,4.0,0.0,1,United Kingdom,1,birthday card
42,"Ivan Maxwell Jones,  Fine Art cards set, Malvern Hills,  landscape cards,  Greetings Card Pack, Birthday Cards, card gift set",0,0,,,,1,514,20,"Yoda Best Son Star Wars Birthday Card Christmas Anniversary Valentines Mandalorian Love Family Bday Greeting Comedy Funny Humour  6x6 inches white premium matte card Choice of white, brown kraft, green or red envelope Left blank inside for your own personalised message  We try our best get all",3.0,1.0,1,United Kingdom,6,birthday card
